"","Object.Name","Period.Start","Period.End","Possible.Impacts","Cumulative.Impact.Probability","Asteroid.Velocity","Asteroid.Magnitude","Asteroid.Diameter..km.","Cumulative.Palermo.Scale","Maximum.Palermo.Scale","Maximum.Torino.Scale","Period"
"549","2010 TW54",2092,2107,7,4.2e-06,7.77,27.6,0.01,-6.94,-7.43,0,15
"550","2006 BF56",2092,2110,11,7.9e-06,26.18,29.6,0.004,-7.16,-7.59,0,18
"551","2015 XH55",2092,2110,5,1.4e-06,7.14,29.2,0.005,-8.22,-8.49,0,18
"552","2015 XA378",2092,2115,19,5.3e-05,17.9,25.5,0.027,-4.61,-4.82,0,23
"553","2016 GK2",2092,2116,8,4.6e-05,9.12,27.8,0.009,-5.95,-6.14,0,24
"554","2011 DV10",2093,2093,1,9.3e-07,16.27,24.8,0.038,-5.97,-5.97,0,0
"555","2003 UQ25",2093,2093,2,2.2e-07,18.01,24.2,0.049,-6.27,-6.28,0,0
"556","2016 TM",2093,2100,2,3.9e-07,4.33,27.5,0.011,-8.04,-8.07,0,7
"557","2008 CB6",2093,2107,2,9.6e-06,7.43,27.1,0.013,-6.38,-6.53,0,14
"558","2015 EG7",2093,2110,3,3.2e-08,12.8,27.4,0.011,-8.8,-8.85,0,17
"559","2011 UC64",2093,2114,25,1.9e-05,14.05,27.9,0.009,-6.31,-6.78,0,21
"560","2009 WQ25",2094,2094,1,9.2e-08,16.94,23.9,0.055,-6.57,-6.57,0,0
"561","2012 HE31",2094,2094,1,8.8e-08,10.6,25.7,0.024,-7.64,-7.64,0,0
"562","2007 EN88",2094,2104,3,1e-06,12.16,26.4,0.017,-6.91,-7.06,0,10
"563","2013 AB65",2094,2113,8,6.7e-06,24.42,27.6,0.01,-6.35,-6.49,0,19
"564","2001 SB170",2095,2095,1,1e-08,22.48,22.4,0.11,-6.66,-6.66,0,0
"565","2013 UO5",2095,2095,1,1.3e-10,10.26,23.4,0.07,-9.38,-9.38,0,0
"566","2016 WN7",2095,2100,3,3.1e-06,6.16,27.9,0.009,-7.27,-7.3,0,5
"567","2012 CL17",2095,2112,18,1.4e-06,21.54,25.7,0.024,-6.15,-6.75,0,17
"568","2009 HC",2095,2113,5,3.6e-06,3.72,24.8,0.038,-5.81,-6.13,0,18
"569","2010 RF12",2095,2115,52,0.065,5.1,28.4,0.007,-3.2,-3.2,0,20
"570","2014 YN",2095,2115,22,6.1e-05,3.27,25.7,0.024,-5.06,-5.66,0,20
"571","1997 TC25",2096,2096,1,3e-07,9.89,24.7,0.039,-6.66,-6.66,0,0
"572","2009 MU",2096,2096,1,6.8e-09,13.27,24.5,0.042,-8.11,-8.11,0,0
"573","2013 PS13",2096,2105,2,1.3e-06,17.26,27.3,0.012,-7.05,-7.1,0,9
"574","2010 GV23",2096,2105,2,6.9e-08,5.42,27.6,0.01,-8.84,-9.02,0,9
"575","2015 YM1",2096,2115,6,7.6e-06,6.81,28.4,0.007,-7.1,-7.19,0,19
"576","2016 TG94",2096,2116,16,1.5e-05,8.74,29.7,0.004,-7.4,-7.77,0,20
"577","2011 AK37",2097,2097,1,6e-06,11.87,25.2,0.031,-5.51,-5.51,0,0
"578","2016 FX13",2097,2097,1,2.2e-09,13.98,26.7,0.016,-9.6,-9.6,0,0
"579","2015 KH160",2097,2107,2,1.8e-08,29.2,26.4,0.018,-8.24,-8.25,0,10
"580","2016 EL1",2097,2109,3,2.7e-07,19.79,27.8,0.009,-7.96,-8.29,0,12
"581","2011 SE191",2098,2098,1,7.2e-09,14.57,25.1,0.033,-8.32,-8.32,0,0
"582","2014 MG68",2098,2098,1,2e-10,14.37,22.6,0.1,-8.7,-8.7,0,0
"583","2014 HD199",2098,2098,1,1.2e-10,17.01,24.5,0.042,-9.76,-9.76,0,0
"584","2004 FH",2098,2107,4,5.1e-06,6.97,26.1,0.02,-6.26,-6.53,0,9
"585","2016 YC13",2098,2110,2,3.2e-10,13,26.7,0.015,-10.52,-10.8,0,12
"586","2015 HE1",2098,2110,2,2.5e-07,14.6,27,0.013,-7.71,-7.89,0,12
"587","2007 WP3",2098,2114,21,8.2e-06,13.03,23.5,0.067,-4.6,-4.99,0,16
"588","2005 GV190",2099,2099,1,1.2e-10,9.25,18,0.87,-6.84,-6.84,0,0
"589","2013 VJ13",2099,2099,1,8.9e-10,16.09,23.8,0.06,-8.55,-8.54,0,0
"590","2014 HM198",2099,2104,2,4.4e-10,9.54,27.4,0.011,-10.82,-11,0,5
"591","2005 TA",2099,2114,14,1.8e-05,4.8,27.2,0.012,-6.29,-6.64,0,15
"592","2010 GH7",2099,2115,38,0.00011,5.05,27.3,0.012,-5.53,-5.98,0,16
"593","2017 BE30",2100,2100,1,1.1e-07,16.69,26.3,0.018,-7.69,-7.69,0,0
"594","2005 CC37",2100,2100,1,2.4e-08,8.45,22.7,0.099,-6.85,-6.85,0,0
"595","2004 OD4",2100,2100,1,6.8e-08,8.45,26.9,0.014,-8.43,-8.43,0,0
"596","2012 UL171",2100,2100,1,4.2e-10,3.79,27,0.013,-10.8,-10.8,0,0
"597","2011 UM169",2100,2107,19,1.7e-05,13.95,25,0.033,-4.97,-5.25,0,7
"598","2015 YC1",2100,2108,4,1.5e-06,8.16,26.1,0.021,-6.69,-6.98,0,8
"599","2016 CH30",2100,2112,4,8.9e-06,5.46,28,0.009,-6.92,-6.97,0,12
"600","2011 OB26",2100,2115,17,4.4e-05,11,25.6,0.026,-4.92,-5.13,0,15
"601","2016 WR55",2100,2115,9,3.2e-06,14.12,28.3,0.007,-7.32,-7.62,0,15
"602","2014 OM207",2101,2101,2,0.00022,8.2,29.1,0.005,-5.98,-5.98,0,0
"603","1991 VG",2101,2101,1,4.6e-05,1.02,28.4,0.007,-6.46,-6.46,0,0
"604","2012 UU68",2101,2101,1,8.3e-09,6.89,23.1,0.082,-7.55,-7.55,0,0
"605","2007 WT3",2101,2101,1,8.6e-10,19.92,24.1,0.051,-8.64,-8.64,0,0
"606","2012 VZ19",2101,2101,2,4.5e-10,7.92,25.6,0.025,-10,-10.2,0,0
"607","443104 (2013 XK22)",2101,2102,2,1.9e-05,6.9,24.2,0.05,-4.69,-4.69,0,1
"608","2007 EH26",2101,2103,2,2.7e-08,20.19,24.2,0.049,-7.2,-7.2,0,2
"609","2005 UC3",2101,2109,2,3.1e-07,7.81,27.1,0.013,-7.9,-8.03,0,8
"610","2002 XV90",2101,2114,4,1.7e-08,7.61,25.2,0.031,-8.28,-8.54,0,13
"611","2016 FW3",2102,2102,2,3.5e-07,8.79,25.5,0.027,-7.02,-7.28,0,0
"612","2015 JC1",2102,2102,1,7.7e-08,15.25,27.1,0.013,-8.26,-8.26,0,0
"613","2016 WF7",2102,2113,4,2.3e-06,6.52,28.7,0.006,-7.88,-7.91,0,11
"614","2009 RR",2102,2114,20,1.3e-05,12.95,25.6,0.026,-5.38,-6.12,0,12
"615","2015 TG24",2102,2115,15,8.5e-06,9.84,26.7,0.016,-6.21,-6.77,0,13
"616","2016 SU2",2102,2115,12,4.9e-06,12.73,27.7,0.01,-6.85,-7.23,0,13
"617","2006 WK130",2103,2103,1,2e-09,20.74,22.4,0.11,-7.41,-7.41,0,0
"618","2014 OO6",2103,2103,1,4e-10,17.82,23.3,0.075,-8.63,-8.63,0,0
"619","2015 VK1",2103,2109,2,4e-07,14.73,26.5,0.017,-7.27,-7.5,0,6
"620","2013 TV132",2103,2111,4,2.3e-06,9.16,26.5,0.017,-6.74,-7.07,0,8
"621","2006 UU17",2103,2111,5,1.5e-06,9.8,26.4,0.018,-6.8,-7.12,0,8
"622","2014 CR13",2103,2113,16,9.9e-05,12.29,25.7,0.024,-4.61,-4.69,0,10
"623","2016 CY135",2103,2114,5,1.6e-06,6.74,24.4,0.044,-5.93,-6.14,0,11
"624","2010 CS19",2104,2104,4,4.8e-05,6.82,28,0.009,-6.16,-6.18,0,0
"625","2014 WE6",2104,2109,5,5.2e-05,4.42,30.3,0.003,-7.3,-7.57,0,5
"626","2007 YS56",2104,2113,3,6.1e-06,9.14,25.8,0.023,-5.99,-6.25,0,9
"627","2011 UD21",2105,2105,1,9.3e-06,1.29,28.5,0.007,-7.21,-7.21,0,0
"628","2016 BE",2105,2105,1,1.7e-09,9.1,23.6,0.066,-8.41,-8.41,0,0
"629","2009 SD15",2105,2105,1,1.3e-10,13.88,26.9,0.014,-10.98,-11,0,0
"630","2016 AB166",2106,2106,1,6.4e-08,21.63,24.4,0.044,-6.9,-6.9,0,0
"631","2004 GE2",2106,2109,2,4.9e-08,20.57,21.4,0.18,-5.57,-5.65,0,3
"632","2003 XK",2106,2110,2,2e-08,18.04,25.4,0.029,-7.95,-7.95,0,4
"633","2006 JE",2106,2112,4,2.2e-06,26.36,23.8,0.058,-4.96,-5,0,6
"634","2006 BM8",2106,2115,10,2.6e-06,14.81,25.4,0.028,-5.96,-6.43,0,9
"635","2015 DA54",2107,2107,1,5.5e-08,23.13,20.8,0.23,-5.2,-5.2,0,0
"636","2001 UD5",2107,2107,1,1.5e-08,16.73,22.4,0.11,-6.66,-6.66,0,0
"637","2016 UR36",2107,2107,2,5.1e-08,17.96,27.5,0.011,-8.59,-8.74,0,0
"638","2012 EZ1",2107,2107,2,9.4e-08,13.54,28.8,0.006,-9.07,-9.3,0,0
"639","2013 BR15",2107,2110,2,1.3e-08,14.11,25.1,0.032,-8.13,-8.18,0,3
"640","2016 LG10",2108,2108,3,3.3e-06,8.69,25.6,0.026,-6.11,-6.44,0,0
"641","2014 OX3",2108,2108,1,4.9e-08,12.82,27.8,0.009,-8.88,-8.88,0,0
"642","2007 CS5",2108,2109,2,1.3e-07,5,24.5,0.042,-7.11,-7.37,0,1
"643","2016 FZ13",2108,2114,6,2.2e-05,4.3,28.3,0.007,-6.75,-7.14,0,6
"644","2016 EM156",2108,2116,5,2e-05,8.81,27.9,0.009,-6.5,-6.56,0,8
"645","2016 AU193",2109,2109,1,3.1e-07,21.77,25.3,0.03,-6.63,-6.63,0,0
"646","2008 OO8",2109,2109,1,6.3e-08,8.31,25.2,0.031,-7.69,-7.69,0,0
"647","2015 FC345",2109,2109,1,6.2e-07,6.76,27.8,0.009,-7.96,-7.96,0,0
"648","2014 QJ365",2109,2109,1,5.8e-08,12.19,27.4,0.011,-8.68,-8.68,0,0
"649","2014 OQ392",2109,2109,1,1.2e-10,11.89,22.8,0.093,-9.12,-9.12,0,0
"650","2005 SO1",2110,2110,8,4.4e-06,12.02,25.4,0.028,-5.82,-6.32,0,0
"651","2011 UR63",2110,2110,2,2.9e-07,12.57,25.7,0.024,-7.14,-7.26,0,0
"652","2016 TQ2",2110,2115,7,3.8e-06,15.21,26.4,0.017,-6.29,-6.56,0,5
"653","2016 SA2",2110,2116,9,0.00016,5.19,28.1,0.008,-5.77,-6.08,0,6
"654","2009 HS44",2111,2111,1,7e-06,18.29,26.6,0.017,-5.99,-5.99,0,0
"655","2013 WZ44",2111,2111,1,3.2e-06,12.56,25.7,0.025,-6.09,-6.09,0,0
"656","1993 UA",2111,2111,2,7.1e-07,9.4,25.4,0.028,-6.72,-6.88,0,0
"657","2012 TU231",2111,2111,1,4e-07,9.97,26.2,0.02,-7.31,-7.31,0,0
"658","2014 WU200",2111,2111,2,1.4e-06,1.73,28.9,0.005,-8.28,-8.44,0,0
"659","2010 UZ7",2111,2111,1,3.1e-09,15.96,24.7,0.039,-8.52,-8.52,0,0
"660","2004 DA53",2111,2112,3,1.7e-06,9.35,27.9,0.009,-7.52,-7.61,0,1
"661","2009 FZ10",2111,2115,5,1.3e-05,13.01,25.5,0.027,-5.37,-5.37,0,4
"662","2016 WN1",2112,2112,1,1e-06,15.09,25.3,0.029,-6.32,-6.32,0,0
"663","2016 TB57",2112,2112,1,1.1e-08,2.22,26.1,0.02,-9.01,-9.01,0,0
"664","2010 UC7",2112,2112,8,2e-06,13.28,24.7,0.038,-5.82,-6.43,0,0
"665","2012 BA102",2112,2112,1,7e-06,7.23,26.5,0.017,-6.3,-6.3,0,0
"666","2014 CE",2112,2112,1,1.3e-06,13.03,27,0.013,-7.1,-7.1,0,0
"667","2016 TC57",2112,2112,1,1e-06,8.74,27,0.013,-7.34,-7.34,0,0
"668","2004 XG29",2112,2112,1,1.2e-07,5.09,25.4,0.029,-7.57,-7.57,0,0
"669","2015 PL57",2112,2112,1,7e-08,3.82,25.8,0.024,-8.03,-8.03,0,0
"670","2009 DM40",2112,2112,2,1.1e-08,8.88,26.6,0.016,-9.09,-9.34,0,0
"671","2014 HC196",2112,2112,1,2e-10,10.36,25.2,0.031,-10.12,-10.1,0,0
"672","2011 YQ1",2113,2113,1,1.2e-06,11.65,25.6,0.026,-6.51,-6.51,0,0
"673","2016 GU2",2113,2113,1,9.2e-09,39.17,24.1,0.052,-7.23,-7.23,0,0
"674","2011 UA64",2113,2113,1,3.3e-08,14.41,27.1,0.013,-8.7,-8.7,0,0
"675","2000 WJ107",2114,2114,10,2.2e-06,12.78,23.1,0.081,-5.02,-5.63,0,0
"676","2016 FV13",2114,2114,1,2e-05,11.06,25.9,0.023,-5.44,-5.44,0,0
"677","2015 DD54",2114,2114,1,2.6e-06,6.7,25.4,0.028,-6.25,-6.25,0,0
"678","2015 EG",2115,2115,1,3.4e-08,9.56,25.7,0.025,-8.15,-8.15,0,0
"679","2014 KW76",2115,2115,1,2.8e-07,15,28,0.008,-8.22,-8.22,0,0
"680","2012 FN",2115,2115,1,2.3e-08,3.27,29.2,0.005,-10.18,-10.2,0,0
"681","101955 Bennu (1999 RQ36)",2175,2199,78,0.00037,5.99,20.2,0.49,-1.71,-2.32,NA,24
"682","410777 (2009 FD)",2185,2198,7,0.0016,15.87,22.1,0.16,-1.78,-1.83,NA,13
"683","29075 (1950 DA)",2880,2880,1,0.00012,14.1,17.6,1.3,-1.42,-1.42,NA,0
